row,building,tag,room before,room after,chosen from,kind of change
257,HQ,VAV0097,CORRIDOR 1.602,1.602 CORRIDOR,D,"same room, name reordered"
258,HQ,VAV0098,CORRIDOR 1.602,1.602 CORRIDOR,D,"same room, name reordered"
259,HQ,VAV0099,SOUTH EAST ZONE,1.601 CORRIDOR,D->E,room number added
260,HQ,VAV0100,FINANCE RECORD STORAGE 1.111,1.111 FINANCE RECORD STORAGE,D,"same room, name reordered"
261,HQ,VAV0101,FOOD HEAT UP 1.702,1.702 FOOD HEAT UP,D,"same room, name reordered"
262,HQ,VAV0102,WASHING AREA 1.706,1.706 WASHING AREA,J,"same room, name reordered"
263,HQ,VAV0103,LOBBY (GROUND FLOOR),G.104 LOBBY,D->E,room number added
264,HQ,VAV0104,LOBBY (GROUND FLOOR),G.104 LOBBY,D->E,room number added
265,HQ,VAV0105,LOBBY (GROUND FLOOR),G.104 LOBBY,D->E,room number added
266,HQ,VAV0106,LOBBY (GROUND FLOOR),G.104 LOBBY,D->E,room number added
267,HQ,VAV0107,STAFF CAFETERIA 1.701,1.701 STAFF CAFETERIA,J,"same room, name reordered"
268,HQ,VAV0108,STAFF CAFETERIA 1.701,1.701 STAFF CAFETERIA,J,"same room, name reordered"
