subject,subjectType,predicate,object,objectType,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val
entity:QNL_B_106_SEC_SECURITY_STORES_SECURITY_UPS,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.106 SEC SECURITY STORES SECURITY UPS,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_107_SECURITY_EQUIPMENT_ROOM,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.107 SECURITY EQUIPMENT ROOM,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_108_TOILET,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.108 TOILET,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_109_LOADING_AREA,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.109 LOADING AREA,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_110_PLANT_ROOM_03,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.110 PLANT ROOM 03,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_111_STORAGE,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.111 STORAGE,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_112_CORRIDOR,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.112 CORRIDOR,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_113_MAINTENANCE,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.113 MAINTENANCE,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_114_VENTLATON,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.114 VENTLATON,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_115_CORRIDOR,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.115 CORRIDOR,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_116_VENTLATON,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.116 VENTLATON,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_120_COMPACT_SHELVING_-MAIN_COLLECTION,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.120 COMPACT SHELVING -MAIN COLLECTION,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_121_SORTING_SHELVING_ROOM,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.121 SORTING SHELVING ROOM,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_122_IT_OFFICE,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.122 IT OFFICE,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_132_SHELL_SPACE-SPECIAL_COLLECTION,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.132 SHELL SPACE-SPECIAL COLLECTION,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_141_HLP_HL_PLANT_ROOM,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.141 HLP HL PLANT ROOM,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_141_VAU_VAULT,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.141 VAU VAULT,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_142_CORRIDOR,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.142 CORRIDOR,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_143_HERITAGE_COLLECTION,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.143 HERITAGE COLLECTION,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_144_PANTRY,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.144 PANTRY,,,,,,,,,,,,,,,,,,,,
