kind,source_identifier,ontology_identifier,rdfs:label_en
CAV,CAV_1F_S11_009,entity:QNL_CAV_1F_S11_009,QNL_CAV_1F_S11_009
CAV,CAV_1F_S15_004,entity:QNL_CAV_1F_S15_004,QNL_CAV_1F_S15_004
CAV,CAV_1F_S15_018,entity:QNL_CAV_1F_S15_018,QNL_CAV_1F_S15_018
CAV,CAV_1F_S15_019,entity:QNL_CAV_1F_S15_019,QNL_CAV_1F_S15_019
CAV,CAV_1F_S15_002,entity:QNL_CAV_1F_S15_002,QNL_CAV_1F_S15_002
CAV,CAV_1F_S15_005,entity:QNL_CAV_1F_S15_005,QNL_CAV_1F_S15_005
CAV,CAV_1F_S15_006,entity:QNL_CAV_1F_S15_006,QNL_CAV_1F_S15_006
CAV,CAV_1F_S15_010,entity:QNL_CAV_1F_S15_010,QNL_CAV_1F_S15_010
CAV,CAV_1F_S15_011,entity:QNL_CAV_1F_S15_011,QNL_CAV_1F_S15_011
CAV,CAV_1F_S15_012,entity:QNL_CAV_1F_S15_012,QNL_CAV_1F_S15_012
CAV,CAV_1F_S15_013,entity:QNL_CAV_1F_S15_013,QNL_CAV_1F_S15_013
CAV,CAV_1F_S15_014,entity:QNL_CAV_1F_S15_014,QNL_CAV_1F_S15_014
CAV,CAV_1F_S15_015,entity:QNL_CAV_1F_S15_015,QNL_CAV_1F_S15_015
CAV,CAV_1F_S15_016,entity:QNL_CAV_1F_S15_016,QNL_CAV_1F_S15_016
CAV,CAV_1F_S15_017,entity:QNL_CAV_1F_S15_017,QNL_CAV_1F_S15_017
CAV,CAV_B_S14_006,entity:QNL_CAV_B_S14_006,QNL_CAV_B_S14_006
CAV,CAV_B_S14_007,entity:QNL_CAV_B_S14_007,QNL_CAV_B_S14_007
CAV,CAV_1F_S11_001,entity:QNL_CAV_1F_S11_001,QNL_CAV_1F_S11_001
CAV,CAV_1F_S11_002,entity:QNL_CAV_1F_S11_002,QNL_CAV_1F_S11_002
CAV,CAV_1F_S11_007,entity:QNL_CAV_1F_S11_007,QNL_CAV_1F_S11_007
CAV,CAV_B_S12_001,entity:QNL_CAV_B_S12_001,QNL_CAV_B_S12_001
